,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
1885,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,93.0,region 50.0-100.0
466,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,95.0,region 50.0-100.0
1071,0,moderate,1,Apartment,Entire home/apt,6.0,2.0,3.0,4.0,99.0,Others
4005,0,moderate,1,House,Private room,2.0,1.0,1.0,1.0,89.0,region 50.0-100.0
3234,1,moderate,1,Apartment,Entire home/apt,2.0,1.0,2.0,2.0,80.0,region 150.0-200.0
5376,1,moderate,0,Condominium,Entire home/apt,2.0,2.0,2.0,2.0,90.0,region 300.0-350.0
319,0,moderate,0,Condominium,Entire home/apt,5.0,2.0,3.0,3.0,96.0,region 350.0-400.0
339,1,strict_14_with_grace_period,0,Apartment,Private room,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
5261,0,strict_14_with_grace_period,0,House,Entire home/apt,5.0,2.0,3.0,3.0,100.0,region 100.0-150.0
3864,1,flexible,1,Guest suite,Entire home/apt,3.0,1.0,1.0,2.0,99.0,region 50.0-100.0
5931,0,flexible,0,House,Private room,2.0,1.0,0.0,2.0,86.0,region 50.0-100.0
5218,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 50.0-100.0
6535,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
3734,0,strict_14_with_grace_period,0,Serviced apartment,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 250.0-300.0
4606,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,99.0,region 100.0-150.0
1916,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,99.0,region 250.0-300.0
5846,1,moderate,0,House,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 200.0-250.0
502,0,moderate,0,Apartment,Entire home/apt,5.0,2.0,2.0,2.0,97.0,region 350.0-400.0
