,host_is_superhost,cancellation_policy,instant_bookable,property_type,room_type,accommodates,bathrooms,bedrooms,beds,review_scores_rating,price_region
4962,0,moderate,0,Boutique hotel,Private room,2.0,1.0,0.0,1.0,60.0,region 200.0-250.0
6371,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 150.0-200.0
2662,1,moderate,0,House,Private room,3.0,1.0,1.0,2.0,98.0,region 50.0-100.0
4636,0,flexible,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,100.0,region 50.0-100.0
1161,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,5.0,2.0,3.0,3.0,100.0,Others
827,0,moderate,1,Guest suite,Entire home/apt,4.0,1.0,1.0,2.0,93.0,region 100.0-150.0
3404,1,moderate,1,House,Private room,2.0,1.0,1.0,1.0,95.0,region 100.0-150.0
6682,0,flexible,1,Apartment,Private room,2.0,2.0,1.0,1.0,100.0,region 50.0-100.0
5047,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,2.0,3.0,3.0,93.0,region 250.0-300.0
1959,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,3.0,1.0,2.0,2.0,92.0,region 450.0-500.0
1642,0,super_strict_60,0,Serviced apartment,Entire home/apt,8.0,1.0,3.0,4.0,100.0,Others
1249,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
2270,0,flexible,0,Apartment,Entire home/apt,4.0,3.0,2.0,2.0,100.0,region 150.0-200.0
6863,1,strict,0,Apartment,Entire home/apt,2.0,1.0,0.0,0.0,98.0,region 100.0-150.0
226,1,strict_14_with_grace_period,0,Apartment,Private room,2.0,2.0,2.0,1.0,98.0,region 100.0-150.0
6990,1,flexible,0,House,Private room,2.0,1.0,0.0,1.0,100.0,region 150.0-200.0
1863,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,5.0,1.0,3.0,3.0,97.0,Others
2789,0,moderate,0,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,87.0,region 300.0-350.0
4247,1,moderate,0,Apartment,Entire home/apt,6.0,2.0,2.0,3.0,97.0,region 150.0-200.0
3763,0,strict_14_with_grace_period,0,House,Entire home/apt,4.0,1.0,3.0,3.0,100.0,region 450.0-500.0
6938,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
6052,0,strict_14_with_grace_period,1,House,Private room,2.0,2.0,1.0,1.0,88.0,region 0.0-50.0
3409,0,strict_14_with_grace_period,1,Guest suite,Entire home/apt,3.0,1.0,0.0,1.0,93.0,region 100.0-150.0
7021,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 200.0-250.0
4792,0,flexible,1,Boutique hotel,Private room,2.0,1.0,0.0,1.0,84.0,region 50.0-100.0
75,1,flexible,1,Others,Private room,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
5588,1,moderate,1,Apartment,Entire home/apt,2.0,1.0,0.0,2.0,100.0,region 100.0-150.0
5343,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
5044,0,flexible,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
401,1,strict_14_with_grace_period,1,Condominium,Entire home/apt,6.0,1.0,3.0,3.0,100.0,Others
6900,1,strict,0,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 200.0-250.0
4501,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,89.0,region 200.0-250.0
1235,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,3.0,3.0,97.0,Others
3217,1,moderate,1,Apartment,Private room,1.0,1.0,1.0,2.0,99.0,region 50.0-100.0
4867,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 50.0-100.0
3936,1,moderate,1,House,Entire home/apt,6.0,1.0,2.0,2.0,99.0,region 400.0-450.0
1196,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,96.0,region 150.0-200.0
3945,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 50.0-100.0
471,1,strict_14_with_grace_period,0,Apartment,Private room,1.0,1.0,1.0,1.0,97.0,region 50.0-100.0
3992,0,strict_14_with_grace_period,0,Others,Private room,2.0,1.0,1.0,1.0,90.0,region 100.0-150.0
6334,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
6064,1,moderate,0,Condominium,Private room,2.0,2.0,1.0,1.0,100.0,region 150.0-200.0
2511,0,flexible,1,Apartment,Private room,2.0,1.0,1.0,1.0,95.0,region 100.0-150.0
2616,0,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,87.0,region 100.0-150.0
1492,0,moderate,1,Apartment,Private room,2.0,0.5,1.0,1.0,90.0,region 100.0-150.0
708,0,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,96.0,region 150.0-200.0
1149,1,moderate,0,Condominium,Entire home/apt,2.0,1.0,2.0,2.0,96.0,region 200.0-250.0
773,1,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,2.0,96.0,region 150.0-200.0
3721,0,moderate,0,Guest suite,Entire home/apt,3.0,1.0,1.0,2.0,93.0,region 200.0-250.0
5897,0,moderate,0,Condominium,Entire home/apt,5.0,1.0,2.0,1.0,98.0,region 150.0-200.0
2615,0,strict_14_with_grace_period,0,House,Entire home/apt,3.0,1.0,1.0,1.0,91.0,region 100.0-150.0
4344,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 50.0-100.0
3061,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,6.0,1.0,2.0,2.0,96.0,region 200.0-250.0
4053,1,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,100.0,region 450.0-500.0
3843,0,flexible,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
3506,1,strict_14_with_grace_period,1,Apartment,Private room,1.0,1.0,1.0,1.0,97.0,region 50.0-100.0
6769,0,flexible,1,House,Entire home/apt,6.0,2.0,3.0,3.0,98.0,Others
1171,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,89.0,region 50.0-100.0
1628,0,moderate,1,House,Entire home/apt,5.0,2.0,3.0,2.0,100.0,region 250.0-300.0
2372,1,strict_14_with_grace_period,1,Apartment,Private room,2.0,1.0,1.0,1.0,97.0,region 100.0-150.0
6912,0,flexible,1,House,Shared room,4.0,2.0,1.0,4.0,100.0,region 0.0-50.0
6365,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
2567,0,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,89.0,region 100.0-150.0
2039,1,moderate,1,Guest suite,Entire home/apt,4.0,1.0,1.0,3.0,96.0,region 100.0-150.0
5003,0,moderate,0,House,Entire home/apt,4.0,1.0,0.0,2.0,94.0,region 300.0-350.0
7037,0,flexible,1,Apartment,Entire home/apt,4.0,1.0,1.0,3.0,98.0,region 200.0-250.0
1166,1,strict_14_with_grace_period,0,House,Entire home/apt,6.0,2.0,3.0,3.0,98.0,Others
2384,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 250.0-300.0
5676,1,moderate,0,Condominium,Entire home/apt,6.0,2.0,3.0,3.0,98.0,region 200.0-250.0
540,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,95.0,region 50.0-100.0
3312,1,strict_14_with_grace_period,1,Condominium,Private room,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
3759,1,moderate,1,House,Private room,2.0,1.0,0.0,1.0,98.0,region 150.0-200.0
2664,0,moderate,0,Apartment,Private room,2.0,1.0,0.0,1.0,94.0,region 50.0-100.0
3097,1,moderate,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,96.0,region 100.0-150.0
5521,0,strict_14_with_grace_period,1,House,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 300.0-350.0
4497,1,moderate,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 200.0-250.0
4058,0,strict_14_with_grace_period,1,Apartment,Private room,4.0,1.0,2.0,2.0,100.0,region 200.0-250.0
3032,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,91.0,region 50.0-100.0
3056,1,strict_14_with_grace_period,0,Guest suite,Entire home/apt,1.0,1.0,1.0,1.0,98.0,region 150.0-200.0
107,0,strict_14_with_grace_period,0,Others,Entire home/apt,1.0,1.0,1.0,1.0,97.0,region 250.0-300.0
2458,0,moderate,0,Guest suite,Entire home/apt,5.0,1.0,1.0,3.0,94.0,region 100.0-150.0
6006,0,flexible,0,House,Entire home/apt,6.0,3.0,3.0,3.0,98.0,region 250.0-300.0
5486,0,flexible,0,House,Private room,1.0,1.0,1.0,1.0,98.0,region 100.0-150.0
2516,1,strict_14_with_grace_period,0,Others,Entire home/apt,4.0,1.0,0.0,1.0,99.0,region 150.0-200.0
6160,0,strict_14_with_grace_period,0,House,Shared room,2.0,1.0,1.0,2.0,87.0,region 0.0-50.0
6607,0,strict_14_with_grace_period,1,Others,Shared room,1.0,2.0,1.0,1.0,100.0,region 0.0-50.0
1159,1,strict_14_with_grace_period,0,Guest suite,Entire home/apt,4.0,1.0,1.0,1.0,96.0,region 100.0-150.0
2522,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,4.0,2.0,2.0,2.0,100.0,region 250.0-300.0
6926,1,flexible,0,House,Private room,4.0,1.0,2.0,2.0,98.0,region 150.0-200.0
4849,1,strict_14_with_grace_period,1,Others,Entire home/apt,2.0,1.0,1.0,1.0,97.0,region 350.0-400.0
5403,0,strict_14_with_grace_period,0,House,Private room,1.0,1.0,1.0,1.0,100.0,region 100.0-150.0
3367,1,moderate,1,Others,Entire home/apt,4.0,1.0,1.0,2.0,96.0,region 100.0-150.0
753,0,moderate,0,House,Entire home/apt,2.0,1.0,1.0,0.0,94.0,region 200.0-250.0
6478,0,flexible,1,House,Private room,10.0,4.0,4.0,6.0,98.0,region 400.0-450.0
6099,0,strict_14_with_grace_period,0,Apartment,Shared room,4.0,1.0,1.0,2.0,98.0,region 0.0-50.0
1255,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,86.0,region 50.0-100.0
318,1,moderate,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 200.0-250.0
352,0,strict_14_with_grace_period,0,House,Entire home/apt,5.0,2.0,3.0,3.0,98.0,region 450.0-500.0
5188,1,moderate,0,Condominium,Private room,1.0,1.0,1.0,1.0,98.0,region 150.0-200.0
6191,1,strict_14_with_grace_period,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
2356,1,moderate,0,Guest suite,Entire home/apt,4.0,1.0,1.0,2.0,98.0,region 100.0-150.0
5067,0,strict_14_with_grace_period,1,Apartment,Private room,2.0,1.0,1.0,1.0,91.0,region 50.0-100.0
1699,1,strict_14_with_grace_period,1,Condominium,Private room,2.0,1.0,1.0,1.0,97.0,Others
4252,1,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
1505,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,95.0,region 100.0-150.0
6563,1,flexible,0,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,100.0,region 150.0-200.0
26,1,moderate,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,92.0,region 150.0-200.0
897,0,moderate,0,Condominium,Private room,1.0,1.0,1.0,1.0,99.0,region 100.0-150.0
7124,0,flexible,1,House,Shared room,4.0,1.0,1.0,1.0,98.0,region 0.0-50.0
2146,1,moderate,0,House,Entire home/apt,6.0,1.0,3.0,0.0,99.0,Others
5845,0,flexible,0,Others,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
1805,0,strict_14_with_grace_period,0,House,Private room,4.0,1.0,1.0,2.0,94.0,region 50.0-100.0
5371,0,flexible,1,Condominium,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 100.0-150.0
6442,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 250.0-300.0
1495,0,moderate,1,Apartment,Private room,2.0,1.0,1.0,1.0,89.0,region 100.0-150.0
3851,0,strict_14_with_grace_period,0,Others,Entire home/apt,8.0,2.0,2.0,4.0,91.0,region 150.0-200.0
6094,0,strict_14_with_grace_period,1,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
2004,1,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,2.0,100.0,region 150.0-200.0
2771,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,3.0,6.0,100.0,Others
430,1,moderate,0,House,Entire home/apt,7.0,1.0,2.0,3.0,97.0,region 300.0-350.0
5200,0,moderate,1,House,Entire home/apt,4.0,1.0,2.0,3.0,100.0,region 350.0-400.0
5566,0,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,Others
1773,0,strict_14_with_grace_period,0,House,Entire home/apt,5.0,2.0,3.0,3.0,95.0,region 350.0-400.0
3168,1,strict_14_with_grace_period,0,House,Entire home/apt,3.0,1.0,1.0,4.0,100.0,region 100.0-150.0
3344,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,0.0,1.0,100.0,region 100.0-150.0
3846,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,94.0,region 200.0-250.0
2100,0,strict_14_with_grace_period,1,Condominium,Entire home/apt,2.0,1.0,0.0,1.0,98.0,region 100.0-150.0
1777,0,moderate,0,Apartment,Entire home/apt,4.0,1.0,3.0,3.0,96.0,region 150.0-200.0
1919,1,strict_14_with_grace_period,1,House,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 250.0-300.0
6778,0,flexible,1,House,Entire home/apt,4.0,1.0,3.0,4.0,87.0,region 150.0-200.0
4165,1,moderate,1,House,Private room,2.0,1.0,1.0,1.0,97.0,region 150.0-200.0
6831,0,flexible,1,Condominium,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
5023,1,moderate,1,House,Entire home/apt,7.0,1.0,3.0,2.0,97.0,region 300.0-350.0
249,1,strict_14_with_grace_period,0,Condominium,Private room,3.0,1.0,1.0,1.0,98.0,region 150.0-200.0
76,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,20.0,region 100.0-150.0
6570,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
3189,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,99.0,region 100.0-150.0
6871,0,flexible,0,Condominium,Private room,2.0,1.0,1.0,1.0,98.0,Others
2710,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,98.0,region 100.0-150.0
3440,1,moderate,0,Others,Shared room,1.0,5.0,1.0,1.0,95.0,region 50.0-100.0
4338,0,strict_14_with_grace_period,1,Apartment,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
2560,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,98.0,region 100.0-150.0
6374,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,2.0,3.0,3.0,98.0,region 100.0-150.0
6020,0,flexible,0,Apartment,Entire home/apt,4.0,1.0,1.0,3.0,92.0,region 200.0-250.0
852,0,strict_14_with_grace_period,0,House,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 250.0-300.0
6660,0,flexible,1,House,Private room,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
3975,0,moderate,0,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,100.0,region 100.0-150.0
6212,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,100.0,region 250.0-300.0
2894,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,93.0,region 150.0-200.0
7075,0,flexible,1,Condominium,Private room,1.0,1.0,1.0,1.0,98.0,region 150.0-200.0
6839,1,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,2.0,98.0,region 150.0-200.0
2988,1,moderate,0,House,Entire home/apt,8.0,2.0,3.0,4.0,95.0,region 150.0-200.0
2107,0,flexible,1,Apartment,Private room,2.0,1.0,1.0,1.0,92.0,region 100.0-150.0
167,0,strict_14_with_grace_period,1,Serviced apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
3552,1,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,96.0,region 450.0-500.0
5373,0,flexible,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
1792,1,strict_14_with_grace_period,0,House,Entire home/apt,6.0,2.0,4.0,4.0,98.0,region 350.0-400.0
3434,0,moderate,0,Apartment,Entire home/apt,6.0,1.0,3.0,3.0,100.0,Others
3141,1,flexible,0,Apartment,Private room,2.0,1.0,3.0,1.0,100.0,region 50.0-100.0
779,0,moderate,0,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,96.0,region 200.0-250.0
4390,0,moderate,1,House,Private room,2.0,2.0,1.0,1.0,90.0,region 50.0-100.0
63,1,moderate,0,Apartment,Private room,1.0,1.0,1.0,1.0,89.0,region 50.0-100.0
426,1,moderate,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
93,0,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,2.0,60.0,region 50.0-100.0
1101,1,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,1.0,98.0,region 150.0-200.0
5835,1,moderate,1,House,Private room,2.0,1.0,1.0,1.0,100.0,region 250.0-300.0
1846,0,strict_14_with_grace_period,0,House,Entire home/apt,6.0,1.0,3.0,3.0,100.0,Others
5331,1,flexible,1,Boutique hotel,Private room,4.0,2.0,1.0,2.0,98.0,region 300.0-350.0
153,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,1.0,1.0,1.0,97.0,region 150.0-200.0
6189,0,flexible,1,House,Private room,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
1244,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 200.0-250.0
158,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,97.0,region 100.0-150.0
919,1,moderate,0,Serviced apartment,Private room,2.0,1.0,1.0,1.0,96.0,region 50.0-100.0
180,0,flexible,0,House,Private room,2.0,2.0,1.0,2.0,91.0,region 50.0-100.0
5353,1,strict_14_with_grace_period,0,House,Entire home/apt,5.0,1.0,3.0,3.0,98.0,region 300.0-350.0
212,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,94.0,region 250.0-300.0
4438,1,moderate,0,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,97.0,region 200.0-250.0
5556,0,moderate,1,Guest suite,Entire home/apt,3.0,1.0,1.0,2.0,88.0,region 100.0-150.0
5316,1,flexible,1,Boutique hotel,Private room,2.0,1.0,1.0,1.0,98.0,region 250.0-300.0
3866,0,moderate,1,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,100.0,region 150.0-200.0
3342,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,5.0,1.0,2.0,3.0,80.0,region 100.0-150.0
1485,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,93.0,region 100.0-150.0
4433,1,flexible,0,Guest suite,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 50.0-100.0
1646,0,moderate,0,House,Entire home/apt,2.0,1.0,1.0,2.0,97.0,region 100.0-150.0
2503,0,moderate,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,98.0,region 200.0-250.0
4576,1,moderate,0,Apartment,Private room,2.0,1.0,1.0,2.0,98.0,region 100.0-150.0
518,0,flexible,1,Serviced apartment,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 150.0-200.0
4144,1,moderate,1,House,Entire home/apt,5.0,1.0,2.0,3.0,93.0,Others
86,0,strict_14_with_grace_period,0,House,Private room,2.0,1.0,1.0,1.0,91.0,region 0.0-50.0
4861,1,moderate,0,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,100.0,region 200.0-250.0
1183,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
446,0,strict_14_with_grace_period,0,House,Entire home/apt,12.0,2.0,5.0,6.0,100.0,Others
1848,0,flexible,1,House,Private room,3.0,1.0,1.0,2.0,100.0,region 100.0-150.0
6874,0,strict_14_with_grace_period,1,House,Entire home/apt,4.0,2.0,3.0,4.0,98.0,Others
2989,1,strict_14_with_grace_period,0,Townhouse,Private room,2.0,1.0,0.0,1.0,99.0,region 150.0-200.0
2810,1,strict_14_with_grace_period,0,Guest suite,Entire home/apt,4.0,1.0,1.0,2.0,98.0,region 150.0-200.0
1776,0,strict_14_with_grace_period,0,Townhouse,Entire home/apt,4.0,1.0,2.0,2.0,98.0,region 100.0-150.0
6982,0,strict_14_with_grace_period,1,Hotel,Private room,4.0,1.0,1.0,2.0,98.0,region 450.0-500.0
4857,0,strict_14_with_grace_period,1,House,Private room,4.0,1.0,1.0,1.0,96.0,region 50.0-100.0
1081,1,strict_14_with_grace_period,0,Guest suite,Entire home/apt,2.0,1.0,0.0,1.0,96.0,region 200.0-250.0
2835,1,moderate,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,99.0,region 50.0-100.0
4012,1,strict_14_with_grace_period,0,Apartment,Private room,1.0,1.0,1.0,1.0,95.0,region 150.0-200.0
3639,0,flexible,1,Apartment,Entire home/apt,4.0,2.0,2.0,3.0,98.0,region 300.0-350.0
6919,0,moderate,1,House,Entire home/apt,4.0,1.0,1.0,2.0,100.0,region 150.0-200.0
6141,0,strict_14_with_grace_period,0,Apartment,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
6076,0,flexible,0,Condominium,Entire home/apt,4.0,1.0,2.0,2.0,98.0,Others
6173,0,strict_14_with_grace_period,1,House,Entire home/apt,7.0,2.0,3.0,3.0,97.0,Others
1798,0,strict_14_with_grace_period,0,House,Entire home/apt,8.0,1.0,3.0,5.0,97.0,region 400.0-450.0
7050,0,flexible,1,Apartment,Private room,1.0,1.0,1.0,1.0,98.0,region 50.0-100.0
152,1,moderate,0,House,Private room,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
143,1,moderate,0,Apartment,Private room,1.0,1.0,1.0,1.0,93.0,region 50.0-100.0
467,0,strict_14_with_grace_period,0,Others,Entire home/apt,4.0,1.0,2.0,2.0,95.0,region 150.0-200.0
1335,0,moderate,0,Apartment,Private room,2.0,1.0,1.0,1.0,99.0,region 100.0-150.0
6603,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,6.0,2.0,2.0,2.0,98.0,region 150.0-200.0
5546,1,moderate,0,House,Entire home/apt,9.0,3.0,3.0,6.0,98.0,region 250.0-300.0
2504,0,moderate,0,Apartment,Entire home/apt,3.0,1.0,1.0,2.0,98.0,region 200.0-250.0
627,1,moderate,0,Apartment,Private room,1.0,1.0,1.0,1.0,99.0,region 50.0-100.0
3285,1,flexible,1,House,Private room,2.0,1.0,1.0,1.0,98.0,region 50.0-100.0
5198,1,moderate,0,House,Private room,5.0,1.0,1.0,1.0,100.0,region 150.0-200.0
1143,1,flexible,0,Condominium,Private room,2.0,1.0,1.0,1.0,97.0,region 100.0-150.0
571,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,95.0,region 250.0-300.0
5520,0,moderate,0,Condominium,Entire home/apt,8.0,2.0,3.0,4.0,98.0,region 350.0-400.0
913,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,3.0,1.0,2.0,2.0,90.0,region 100.0-150.0
2401,1,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,99.0,region 100.0-150.0
7030,0,strict_14_with_grace_period,1,Boutique hotel,Private room,2.0,1.0,1.0,1.0,98.0,region 200.0-250.0
3074,0,moderate,0,Apartment,Entire home/apt,3.0,1.0,2.0,2.0,97.0,region 50.0-100.0
3650,0,strict_14_with_grace_period,0,Boutique hotel,Private room,2.0,1.0,0.0,1.0,98.0,region 350.0-400.0
5928,0,strict_14_with_grace_period,1,House,Private room,2.0,1.0,1.0,1.0,94.0,region 150.0-200.0
3195,0,moderate,0,House,Entire home/apt,2.0,1.0,1.0,1.0,100.0,region 100.0-150.0
6989,0,strict_14_with_grace_period,0,Hotel,Private room,4.0,1.0,0.0,2.0,98.0,region 150.0-200.0
3007,0,flexible,1,House,Private room,2.0,2.0,1.0,1.0,92.0,region 50.0-100.0
2463,0,flexible,0,House,Entire home/apt,2.0,1.0,1.0,1.0,97.0,region 50.0-100.0
5581,1,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,100.0,region 200.0-250.0
5892,0,flexible,1,House,Entire home/apt,2.0,1.0,0.0,2.0,100.0,region 250.0-300.0
260,1,moderate,1,Apartment,Entire home/apt,3.0,1.0,1.0,1.0,90.0,region 100.0-150.0
7076,0,flexible,0,Condominium,Private room,1.0,1.0,1.0,1.0,98.0,region 150.0-200.0
4852,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
6057,0,strict_14_with_grace_period,0,Condominium,Entire home/apt,2.0,1.0,1.0,1.0,60.0,region 200.0-250.0
5191,0,flexible,0,House,Private room,2.0,1.0,1.0,1.0,91.0,region 50.0-100.0
930,0,moderate,0,House,Private room,4.0,1.0,2.0,2.0,92.0,region 150.0-200.0
4423,0,flexible,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 100.0-150.0
3583,0,strict_14_with_grace_period,0,Apartment,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 150.0-200.0
7036,0,flexible,0,House,Private room,1.0,1.0,1.0,1.0,98.0,region 100.0-150.0
2972,0,strict_14_with_grace_period,0,House,Entire home/apt,5.0,2.0,3.0,4.0,100.0,region 250.0-300.0
6315,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 150.0-200.0
5328,1,flexible,1,Boutique hotel,Entire home/apt,2.0,1.0,1.0,1.0,98.0,region 250.0-300.0
5901,1,strict_14_with_grace_period,0,Condominium,Entire home/apt,6.0,1.0,3.0,3.0,100.0,Others
5731,0,moderate,0,Guest suite,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 350.0-400.0
2676,1,moderate,1,Guest suite,Entire home/apt,4.0,1.0,2.0,1.0,98.0,region 150.0-200.0
1788,0,strict_14_with_grace_period,0,House,Entire home/apt,7.0,3.0,4.0,4.0,100.0,Others
5425,1,moderate,0,Apartment,Entire home/apt,4.0,2.0,2.0,2.0,98.0,region 200.0-250.0
5605,0,strict_14_with_grace_period,1,Apartment,Entire home/apt,4.0,1.0,1.0,2.0,98.0,region 150.0-200.0
6061,0,moderate,0,House,Entire home/apt,4.0,1.0,2.0,2.0,100.0,region 150.0-200.0
1313,1,moderate,0,Townhouse,Private room,2.0,1.0,1.0,1.0,99.0,region 150.0-200.0
3849,1,strict_14_with_grace_period,1,Apartment,Private room,1.0,2.0,1.0,1.0,99.0,region 50.0-100.0
