,price
746,250.0
1339,135.0
1720,115.0
5019,150.0
4372,150.0
522,150.0
2221,550.0
4379,280.0
303,148.0
487,30.0
3299,350.0
1130,130.0
6569,150.0
1129,210.0
171,30.0
2643,97.0
197,45.0
6327,150.0
6803,62.0
2675,336.0
5471,700.0
3003,350.0
221,250.0
5391,350.0
5736,349.0
5109,350.0
3041,119.0
87,40.0
3516,110.0
3655,192.0
5325,250.0
6602,100.0
4749,110.0
4009,50.0
6834,187.0
5754,60.0
745,145.0
2480,150.0
2141,55.0
2967,110.0
1888,38.0
4215,87.0
5185,70.0
1781,240.0
2371,180.0
3134,209.0
1134,145.0
3415,225.0
2023,59.0
5400,190.0
2864,480.0
5822,215.0
1689,255.0
5742,142.0
4653,120.0
448,124.0
2268,125.0
1996,450.0
836,225.0
6547,200.0
57,125.0
3036,259.0
1609,215.0
3651,350.0
7049,220.0
2769,235.0
5568,191.0
263,95.0
4055,450.0
525,68.0
6213,200.0
2996,130.0
3875,65.0
4483,93.0
6467,80.0
3896,325.0
6280,200.0
4306,46.0
3524,239.0
6849,91.0
6865,165.0
5554,186.0
1708,200.0
5806,500.0
5285,78.0
5365,72.0
3219,157.0
5896,95.0
3735,65.0
4120,69.0
6965,199.0
6063,450.0
5543,499.0
2650,115.0
5407,125.0
928,145.0
3523,50.0
7108,139.0
5024,150.0
4745,85.0
538,210.0
253,160.0
1423,60.0
3370,120.0
393,350.0
2,65.0
7003,150.0
2073,176.0
816,60.0
2629,220.0
5213,800.0
6000,220.0
2765,189.0
2787,88.0
476,289.0
599,950.0
4397,82.0
3937,450.0
1151,140.0
4297,185.0
3171,249.0
3349,116.0
3113,110.0
2163,189.0
6945,147.0
5377,199.0
195,99.0
4795,79.0
1986,180.0
3394,97.0
4178,88.0
1581,140.0
7130,102.0
6894,199.0
4099,69.0
2333,86.0
1215,115.0
3789,79.0
4587,295.0
5730,149.0
3728,230.0
1763,270.0
4194,319.0
1625,200.0
5016,200.0
6651,300.0
4327,447.0
6565,50.0
5882,199.0
5950,300.0
2045,211.0
292,109.0
6003,1249.0
3823,275.0
6494,140.0
1200,141.0
5947,149.0
2978,310.0
2461,109.0
6194,200.0
432,119.0
2700,45.0
2483,135.0
650,500.0
1471,100.0
2119,103.0
2554,110.0
4729,250.0
3133,131.0
6536,164.0
5674,100.0
5860,150.0
3286,156.0
6726,264.0
1840,53.0
1670,125.0
2556,220.0
4833,164.0
6089,99.0
5715,145.0
5564,250.0
2229,100.0
3498,125.0
239,100.0
2049,39.0
3318,298.0
6040,99.0
3793,225.0
6114,309.0
2921,75.0
4177,130.0
5741,400.0
3906,78.0
644,345.0
3258,40.0
3126,299.0
3830,99.0
4890,175.0
4141,119.0
5,255.0
5828,190.0
3686,170.0
334,110.0
7071,170.0
6846,80.0
1079,100.0
494,135.0
1585,199.0
4366,500.0
4028,80.0
4778,79.0
4190,100.0
4043,100.0
1454,107.0
6537,157.0
4437,290.0
6827,650.0
2288,85.0
4021,195.0
3993,100.0
1977,100.0
2761,245.0
4553,89.0
312,199.0
240,90.0
3885,162.0
3259,270.0
4299,85.0
2176,180.0
735,295.0
3593,189.0
7019,310.0
4374,77.0
1849,449.0
6290,147.0
3687,315.0
3220,175.0
5224,65.0
4503,160.0
1510,148.0
4006,40.0
4953,80.0
4466,160.0
5479,130.0
2669,100.0
3972,209.0
2777,135.0
3390,150.0
6896,40.0
3499,299.0
304,160.0
5597,400.0
4713,176.0
364,99.0
528,101.0
5921,600.0
3769,145.0
4493,183.0
1036,650.0
3684,55.0
613,85.0
4279,142.0
3373,139.0
5958,207.0
1502,140.0
6968,40.0
515,225.0
5393,233.0
2858,259.0
6934,250.0
3941,250.0
6451,163.0
5387,101.0
4598,115.0
6940,249.0
5117,149.0
4945,90.0
301,425.0
2550,79.0
1257,224.0
4375,95.0
2926,120.0
2249,99.0
3227,157.0
3346,114.0
1023,112.0
1730,200.0
1478,126.0
2252,95.0
4966,49.0
956,170.0
3045,220.0
4025,80.0
741,185.0
6707,64.0
6515,199.0
771,89.0
6567,197.0
4295,300.0
1499,75.0
5841,229.0
1731,250.0
631,143.0
5324,130.0
5242,180.0
2253,120.0
1719,139.0
2311,210.0
6353,147.0
1199,150.0
639,390.0
5026,299.0
2922,295.0
4626,147.0
165,138.0
3635,450.0
5960,100.0
5025,260.0
530,115.0
6867,135.0
7105,275.0
848,75.0
286,124.0
4512,229.0
2668,160.0
7110,48.0
5176,156.0
3099,350.0
4541,109.0
6582,200.0
1702,240.0
1470,85.0
1772,300.0
2026,299.0
1534,185.0
1911,128.0
6725,90.0
2826,400.0
5939,229.0
1077,295.0
5314,125.0
1615,109.0
676,125.0
3145,399.0
5922,150.0
1821,69.0
7101,140.0
6033,100.0
4848,160.0
3114,800.0
5811,215.0
355,200.0
2316,400.0
573,117.0
4291,695.0
1248,425.0
3383,199.0
1306,109.0
2491,350.0
5657,1200.0
4302,400.0
2495,1040.0
2867,69.0
5171,275.0
1305,77.0
2896,110.0
832,285.0
6243,40.0
2213,286.0
539,140.0
1211,125.0
4072,110.0
6922,250.0
893,600.0
6983,65.0
6890,120.0
4954,225.0
1054,140.0
3625,334.0
2296,275.0
6963,130.0
1056,140.0
6158,60.0
3770,150.0
3964,135.0
945,140.0
1813,232.0
4260,154.0
3372,59.0
3488,200.0
3230,147.0
297,110.0
3766,149.0
3855,149.0
5256,143.0
4271,232.0
4126,195.0
1572,129.0
346,119.0
1747,74.0
5531,845.0
1966,148.0
5045,100.0
3487,275.0
4395,197.0
4730,369.0
4727,180.0
1566,288.0
3004,79.0
4533,349.0
3626,175.0
4906,90.0
993,99.0
1501,125.0
451,139.0
4238,225.0
2997,210.0
1914,1025.0
4189,225.0
7027,145.0
4091,99.0
480,175.0
3839,450.0
5444,300.0
6765,170.0
5241,950.0
5100,200.0
2802,80.0
4377,88.0
473,70.0
4926,205.0
1951,220.0
2182,170.0
5781,750.0
3809,180.0
5319,69.0
3107,119.0
5296,375.0
3112,149.0
2339,179.0
4038,87.0
724,89.0
350,125.0
765,120.0
5432,300.0
188,45.0
5192,85.0
4813,97.0
4554,98.0
2654,85.0
3831,158.0
6180,217.0
3761,300.0
660,295.0
6068,99.0
4514,229.0
3144,225.0
4431,120.0
4051,60.0
1855,130.0
733,250.0
4510,95.0
1592,125.0
3500,400.0
5851,140.0
1620,205.0
6319,150.0
6248,97.0
4265,45.0
2806,99.0
5727,225.0
984,220.0
6462,206.0
484,249.0
6328,177.0
1602,150.0
6558,100.0
234,160.0
5142,150.0
1835,200.0
807,418.0
424,379.0
6346,147.0
5500,194.0
4035,195.0
3753,250.0
1604,300.0
1632,79.0
2470,89.0
4151,125.0
5830,185.0
4620,60.0
2565,280.0
4796,79.0
3460,700.0
